"Date","Month","Year","Site.Name","COUNTY","mean.lat","PM2.5","Ozone"
2018-01-07,1,2018,"Leggett","Edgecombe",35.988278,15,NA
2018-01-07,1,2018,"Mendenhall School","Guilford",36.1090060008986,38,NA
2018-01-07,1,2018,"Millbrook School","Wake",35.856111,48,34
2018-01-07,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,18,NA
2018-01-07,1,2018,"West Johnston Co.","Johnston",35.59095,27,NA
2018-01-08,1,2018,"Bryson City","Swain",35.434767,71,NA
2018-01-08,1,2018,"Castle Hayne","New Hanover",34.364167,11,NA
2018-01-08,1,2018,"Clemmons Middle","Forsyth",36.026,52,NA
2018-01-08,1,2018,"Durham Armory","Durham",36.0329550008979,34.5,NA
2018-01-08,1,2018,"Frying Pan Mountain","Haywood",35.379167,3,NA
2018-01-08,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,53,16
2018-01-08,1,2018,"Hattie Avenue","Forsyth",36.110693332,40,NA
2018-01-08,1,2018,"Leggett","Edgecombe",35.988278,40,NA
2018-01-08,1,2018,"Linville Falls","Avery",35.972347,22,NA
2018-01-08,1,2018,"Mendenhall School","Guilford",36.1090060008986,44,NA
2018-01-08,1,2018,"Millbrook School","Wake",35.856111,42.5,27
2018-01-08,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,31,NA
2018-01-08,1,2018,"West Johnston Co.","Johnston",35.59095,38,NA
2018-01-09,1,2018,"Bryson City","Swain",35.434767,78,NA
2018-01-09,1,2018,"Castle Hayne","New Hanover",34.364167,20,NA
2018-01-09,1,2018,"Clemmons Middle","Forsyth",36.026,60,NA
2018-01-09,1,2018,"Durham Armory","Durham",36.0329550008979,49,NA
2018-01-09,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,53,28
2018-01-09,1,2018,"Hattie Avenue","Forsyth",36.110693332,54,NA
2018-01-09,1,2018,"Leggett","Edgecombe",35.988278,19,NA
2018-01-09,1,2018,"Mendenhall School","Guilford",36.1090060008986,43,NA
2018-01-09,1,2018,"Millbrook School","Wake",35.856111,35,30
2018-01-09,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,31,NA
2018-01-09,1,2018,"West Johnston Co.","Johnston",35.59095,43,NA
2018-01-10,1,2018,"Bryson City","Swain",35.434767,56,NA
2018-01-10,1,2018,"Castle Hayne","New Hanover",34.364167,14,NA
2018-01-10,1,2018,"Clemmons Middle","Forsyth",36.026,39,NA
2018-01-10,1,2018,"Durham Armory","Durham",36.0329550008979,39,NA
2018-01-10,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,38,31
2018-01-10,1,2018,"Hattie Avenue","Forsyth",36.110693332,32,NA
2018-01-10,1,2018,"Leggett","Edgecombe",35.988278,35,NA
2018-01-10,1,2018,"Mendenhall School","Guilford",36.1090060008986,29,NA
2018-01-10,1,2018,"Millbrook School","Wake",35.856111,22,33
2018-01-10,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,37,NA
2018-01-10,1,2018,"West Johnston Co.","Johnston",35.59095,35,NA
2018-01-11,1,2018,"Bryson City","Swain",35.434767,17,NA
2018-01-11,1,2018,"Castle Hayne","New Hanover",34.364167,12,NA
2018-01-11,1,2018,"Clemmons Middle","Forsyth",36.026,59,NA
2018-01-11,1,2018,"Durham Armory","Durham",36.0329550008979,43.5,NA
2018-01-11,1,2018,"Frying Pan Mountain","Haywood",35.379167,0,NA
2018-01-11,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,35,26
2018-01-11,1,2018,"Hattie Avenue","Forsyth",36.110693332,48.5,NA
2018-01-11,1,2018,"Leggett","Edgecombe",35.988278,34,NA
2018-01-11,1,2018,"Linville Falls","Avery",35.972347,3,NA
2018-01-11,1,2018,"Mendenhall School","Guilford",36.1090060008986,55,NA
2018-01-11,1,2018,"Millbrook School","Wake",35.856111,23,26
2018-01-11,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,27.5,NA
2018-01-11,1,2018,"West Johnston Co.","Johnston",35.59095,41,NA
2018-01-12,1,2018,"Bryson City","Swain",35.434767,10,NA
2018-01-12,1,2018,"Castle Hayne","New Hanover",34.364167,0,NA
2018-01-12,1,2018,"Clemmons Middle","Forsyth",36.026,23,NA
2018-01-12,1,2018,"Durham Armory","Durham",36.0329550008979,5,NA
